"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"W237-6";"W237-6";"X1";"WAGO SCREW CLAMP";"";
"5";"1k";"RESISTOR1206";"1206";"R1, R2, R5, R6, R7";"Resistor";"";
"1";"CD74HC238M";"74238D";"SO16";"IC3";"3 to 8 line DECODER/DEMULTIPLEXER";"";
"4";"LED3MM";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4";"";"";
"1";"RJ12RIGHTANGLE";"RJ12RIGHTANGLE";"RJ12-RIGHTANGLE";"J1";"CORCOM Modular RJ Jacks No Shield";"";
"1";"ULN2803";"ULN2803A";"SO18W";"IC1";"DRIVER ARRAY";"";
